qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
4:24:4,0,0,2,2,0,0,0,1,0,3,2,0,0,1,0,0
4:24:34,2,0,0,2,0,0,0,0,0,4,6,0,0,1,0,0
4:25:22,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
4:25:52,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0
4:27:10,4,0,1,1,0,0,0,4,0,2,7,0,3,0,0,0
4:29:19,1,0,1,2,0,0,0,1,0,1,7,0,0,0,0,0
4:31:12,0,0,1,5,0,0,0,3,0,0,7,0,1,2,0,0
4:33:3,1,0,1,4,0,0,0,1,0,0,2,0,1,0,0,0
4:34:14,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0
4:35:4,0,0,0,3,0,0,0,3,0,0,7,0,3,2,0,0
4:36:12,1,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0
4:37:10,1,0,2,4,0,0,0,1,0,0,6,0,0,2,0,0
4:39:7,1,0,0,3,0,0,0,1,0,0,7,0,0,0,0,0
4:41:7,1,0,3,3,0,0,0,4,0,0,4,0,0,0,0,1
4:43:11,2,0,4,1,0,0,0,3,0,2,5,0,1,0,0,0
4:43:41,0,0,1,5,0,0,0,3,0,0,3,0,0,0,0,0
4:45:8,1,0,0,2,0,0,0,2,0,0,6,0,0,1,0,0
4:46:29,0,0,1,1,0,0,0,2,0,1,6,0,2,0,0,0
4:47:21,0,0,1,4,0,0,0,0,0,0,3,0,2,1,0,0
4:49:2,2,0,1,2,0,0,0,1,0,1,3,0,1,1,0,0
4:51:8,0,0,3,3,0,0,0,3,0,0,4,0,0,1,0,0
4:53:7,0,0,0,3,0,0,0,0,0,3,3,0,2,2,0,0
4:55:9,0,0,0,2,0,0,0,4,0,1,3,0,0,0,0,0
4:57:8,0,0,0,2,0,0,0,2,0,1,7,0,3,0,0,0
4:58:18,2,0,1,7,0,0,0,4,0,1,4,0,2,1,0,0
4:59:23,2,0,0,1,0,0,0,4,0,0,4,0,4,0,0,0
4:60:24,2,0,0,3,0,0,0,1,0,1,5,0,2,1,0,0
4:62:9,1,0,2,2,0,0,0,1,0,0,4,1,4,0,0,0
4:64:7,1,0,1,4,0,0,0,4,0,0,2,1,2,0,0,0
4:65:14,2,0,0,0,0,0,0,4,0,1,5,0,1,1,0,0
4:66:25,0,0,3,7,0,1,0,2,0,2,8,0,1,0,0,0
4:70:1,3,0,1,3,0,0,0,4,0,1,4,0,0,0,0,0
4:72:13,1,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0
4:74:7,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0
4:75:16,2,0,1,3,0,0,0,3,0,0,3,2,1,0,0,0
4:76:15,0,0,0,6,0,0,0,3,0,0,1,0,1,0,0,0
4:77:25,1,1,0,1,0,0,0,2,0,0,5,0,3,0,0,0
4:78:7,3,0,2,2,0,0,0,2,0,0,8,0,0,2,0,0
4:79:1,0,0,0,5,0,0,0,0,0,0,9,0,3,0,0,0
4:81:1,1,0,1,3,0,0,0,1,0,0,2,0,0,0,0,0
4:82:7,2,0,1,2,0,0,0,3,0,0,3,0,1,2,0,0
4:83:24,1,0,0,5,0,0,0,1,0,0,5,0,0,1,0,0
4:85:2,0,0,0,1,0,0,0,1,0,1,11,0,2,2,0,0
4:86:10,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0
4:88:8,0,0,2,2,0,0,0,6,0,1,4,0,1,1,0,0
4:89:16,0,1,1,1,0,0,0,3,0,1,4,0,0,0,0,0
4:90:18,0,0,1,3,0,0,0,3,0,0,2,0,1,0,0,0
4:91:12,0,0,1,1,0,0,0,4,0,0,6,0,2,0,0,0
4:92:10,0,0,0,0,0,0,0,1,0,1,14,0,3,1,0,0
4:92:40,0,0,1,2,0,0,0,0,0,0,11,0,1,2,0,0
4:93:10,1,0,1,5,0,0,0,3,0,0,2,0,2,2,0,0
4:94:24,1,0,0,4,0,0,0,2,0,1,3,0,1,0,0,0
4:95:14,2,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0
4:97:3,2,0,4,3,0,0,0,5,0,0,1,0,2,0,0,0
4:98:6,0,0,1,3,0,0,0,1,0,0,9,0,0,0,0,0
4:100:14,0,0,0,4,0,0,0,1,0,0,3,0,0,3,0,0
4:101:13,1,0,3,1,0,0,0,5,0,1,5,0,2,0,0,0
4:102:20,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0
4:102:50,2,0,0,5,0,0,0,4,0,1,5,0,2,0,0,0
4:103:18,1,0,1,2,0,0,0,2,0,0,3,0,2,0,0,0
4:105:6,1,0,1,5,0,0,0,0,0,0,5,0,1,0,0,0
4:107:14,1,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0
4:109:9,0,0,1,3,0,0,0,0,0,1,7,0,0,2,0,0
4:111:7,0,0,3,2,0,0,0,0,0,0,9,1,0,3,0,0
4:113:12,2,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0
4:114:9,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0
4:115:13,0,0,2,2,0,0,0,0,0,0,5,0,0,3,0,0
4:117:3,0,0,0,3,0,0,0,0,0,0,8,0,2,1,0,0
4:119:14,0,0,1,3,0,0,0,3,0,0,7,0,0,0,0,0
4:122:9,0,0,1,3,0,0,0,0,0,0,6,0,2,2,0,0
4:123:18,1,0,1,1,0,0,0,1,0,0,8,0,0,1,0,0
4:125:12,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0
4:127:13,1,0,1,2,0,0,0,2,0,0,4,0,0,1,0,0
4:128:3,1,0,0,3,0,0,0,3,0,0,9,0,2,0,0,0
4:129:4,0,0,1,4,0,0,0,4,0,0,7,0,0,1,0,0
4:131:1,0,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0
4:131:31,1,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0
4:134:7,1,0,2,4,0,0,0,2,0,0,4,0,1,0,0,0
4:135:23,1,0,2,2,1,0,0,6,0,0,3,0,3,2,0,0
4:136:15,0,0,1,2,0,0,0,5,0,0,4,0,0,3,0,0
4:137:16,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
4:140:6,0,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0
4:141:3,0,0,0,3,0,0,0,2,0,1,6,0,2,0,0,0
4:141:33,0,0,3,4,0,0,0,2,0,0,1,0,3,0,0,0
4:143:8,0,0,4,1,0,0,0,3,0,0,6,0,0,1,0,0
4:145:4,0,0,1,5,0,0,0,5,0,0,2,0,0,0,0,0
4:147:5,1,0,2,4,0,0,0,2,0,0,6,0,0,0,0,0
4:149:10,0,0,1,3,0,0,0,3,0,0,5,0,0,2,0,0
4:151:4,0,0,1,2,0,0,0,3,0,0,8,0,0,1,0,0
4:153:9,0,0,2,3,0,0,0,3,0,0,6,0,2,0,0,0
4:154:2,1,0,1,3,0,0,0,2,0,3,3,0,0,0,0,0
4:155:13,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
4:157:15,0,0,0,3,0,0,0,1,0,1,4,1,0,1,0,0
4:159:3,0,0,0,2,0,0,0,3,0,0,4,0,0,2,0,0
4:161:5,2,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0
4:162:21,0,0,1,1,0,1,0,1,0,0,2,0,6,1,0,0
4:163:25,1,0,0,5,1,0,0,0,0,0,7,0,0,0,0,0
4:166:1,2,0,1,3,0,0,0,5,0,0,2,0,1,2,0,0
4:168:7,0,0,2,4,0,0,0,2,0,0,5,0,1,0,0,0
4:170:14,0,0,1,4,0,0,0,2,0,0,1,0,0,0,0,0
4:171:20,1,0,0,3,0,0,0,3,0,0,6,0,3,5,0,0
4:171:50,2,0,1,2,0,0,0,2,0,0,6,0,0,1,0,0
4:173:8,2,0,2,2,0,0,0,2,0,3,9,0,1,1,0,0
4:174:12,0,0,0,2,0,0,0,3,0,0,6,0,1,3,0,0
4:176:15,1,0,1,3,0,0,0,1,0,0,8,0,2,0,0,0
4:176:45,1,0,1,6,0,0,0,3,0,1,2,0,1,0,0,0
5:1:25,0,0,4,2,0,0,0,3,0,0,3,0,1,0,0,0
5:2:27,0,0,0,3,0,0,0,4,0,0,2,0,0,0,0,0
5:3:4,1,0,0,5,0,0,0,1,0,0,1,0,2,1,0,0
5:3:34,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0
5:4:3,0,0,0,5,0,0,0,3,0,1,0,0,1,0,0,0
5:5:2,0,0,0,1,0,0,0,2,0,0,3,0,2,0,0,0
5:5:32,0,0,1,1,0,0,0,3,0,0,3,0,1,1,0,0
5:6:19,3,0,4,1,0,0,0,4,0,3,6,0,1,0,0,0
5:6:49,0,0,0,4,0,0,0,2,0,2,2,0,1,2,0,0
5:7:17,0,0,2,4,0,0,0,5,0,0,2,0,1,0,0,0
5:9:1,0,0,2,3,0,0,0,8,0,1,3,0,2,0,0,0
5:11:14,1,0,1,5,0,0,0,1,0,0,1,0,1,0,0,0
5:12:20,3,0,1,2,0,0,0,0,0,2,4,0,0,0,0,0
5:13:5,0,0,1,1,0,0,0,2,0,0,5,0,0,2,0,0
5:14:3,0,0,3,1,0,0,0,4,0,0,1,0,2,1,0,0
5:15:8,1,0,1,5,0,0,0,1,0,2,6,0,0,1,0,0
5:16:14,0,0,0,2,0,0,0,1,0,0,5,0,1,2,0,0
5:17:26,1,0,3,4,0,0,0,1,0,3,3,0,0,1,0,0
5:18:14,0,0,4,2,0,0,0,1,0,0,5,0,0,0,0,0
5:19:14,1,0,3,2,0,0,0,1,0,2,7,0,0,1,0,0
5:20:15,1,0,0,1,0,0,0,4,0,1,3,0,2,0,0,0
5:22:7,0,0,0,2,0,0,0,4,0,0,2,0,1,0,0,0
5:23:19,2,0,0,0,0,0,0,2,0,1,3,0,4,0,0,0
5:25:11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5:27:14,0,1,0,2,0,0,1,0,0,0,3,0,3,0,0,0
5:29:4,0,0,2,3,0,0,0,1,0,0,1,0,0,4,0,0
5:31:12,0,0,1,1,0,0,0,0,0,0,3,0,2,1,0,0
5:32:16,0,0,2,3,0,0,0,1,0,1,3,0,1,0,0,0
5:33:6,1,0,0,1,0,0,0,3,0,1,2,0,2,1,0,0
5:34:2,0,0,1,2,0,0,0,8,0,0,4,0,2,1,0,0
5:36:5,0,0,0,1,0,0,0,2,0,2,3,0,0,3,0,0
5:37:11,0,0,1,6,0,0,0,1,0,0,8,0,1,1,0,0
5:40:2,1,0,3,4,0,0,0,1,0,0,4,0,1,1,0,0
5:41:13,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0
5:41:43,0,0,1,5,0,0,0,1,0,0,4,0,0,2,0,0
5:42:5,1,0,1,3,0,0,0,0,0,3,4,0,0,0,0,0
5:43:9,1,0,2,4,0,0,0,5,0,0,4,0,2,0,0,0
5:44:24,3,0,1,4,0,0,0,2,0,1,3,0,2,0,0,1
5:45:13,1,0,1,4,0,0,0,1,0,2,5,0,2,2,0,0
5:46:12,4,0,1,4,0,0,0,1,0,1,6,0,2,0,0,0
5:47:16,3,0,2,1,0,0,0,0,0,2,4,0,2,0,0,0
5:48:30,2,0,1,3,0,0,0,1,0,3,4,0,2,0,0,0
5:49:9,1,0,1,3,0,0,0,1,0,1,5,0,1,0,0,0
5:50:6,1,0,3,4,0,0,0,2,0,1,4,0,1,1,0,0
5:52:3,2,0,3,1,0,0,0,3,0,1,5,0,4,1,0,0
5:53:5,1,0,1,2,0,0,0,3,0,0,3,0,1,2,0,0
5:54:20,0,0,2,6,0,0,0,1,0,0,2,0,0,1,0,0
5:55:12,0,0,1,2,0,0,0,5,0,0,4,0,0,1,0,0
5:57:18,2,0,2,3,0,0,0,1,0,1,4,0,3,0,0,0
5:59:12,3,0,0,3,0,0,0,0,0,1,4,0,1,0,0,0
5:60:21,0,0,3,2,0,0,0,5,0,0,4,1,1,1,0,0
5:62:8,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0
5:64:12,2,0,2,1,0,0,0,1,0,1,5,0,2,0,0,0
5:64:42,2,0,0,3,0,0,0,4,0,1,3,0,1,0,0,0
5:66:13,1,0,2,2,0,0,0,0,0,1,6,0,1,1,0,0
5:67:19,3,0,1,3,0,0,0,1,0,2,3,0,2,0,0,0
5:68:24,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0,0
5:70:3,1,0,2,1,0,0,0,6,0,0,5,0,4,0,0,0
5:71:14,0,0,1,4,0,0,0,2,0,0,3,0,2,1,0,0
5:72:25,2,0,0,4,0,0,0,2,0,0,5,0,2,0,0,0
5:73:21,1,0,0,4,0,0,0,1,0,0,5,0,0,2,0,0
5:75:18,1,0,1,3,0,0,0,1,0,0,3,0,0,0,0,0
5:77:7,0,0,3,1,1,0,0,5,0,0,5,0,2,0,0,0
5:78:13,2,0,0,1,0,0,0,5,0,0,4,1,0,0,0,0
5:80:16,1,0,1,3,0,0,0,3,0,0,2,0,1,0,0,0
5:82:12,1,0,0,2,0,0,0,4,0,1,2,0,3,0,0,0
5:83:16,0,0,1,4,0,0,0,1,0,0,3,0,1,0,0,0
5:85:9,0,0,3,2,0,0,0,6,0,0,0,0,3,0,0,0
5:87:18,1,1,0,4,0,0,0,2,0,2,3,0,3,2,0,0
5:89:18,0,0,1,1,0,0,0,1,0,0,3,0,1,1,0,0
5:90:3,1,0,1,3,0,0,0,1,0,0,3,0,1,0,0,0
5:91:17,2,0,0,4,0,0,0,9,0,1,2,1,2,0,0,0
5:93:14,0,0,1,5,0,0,0,6,0,0,2,2,1,2,0,0
5:94:20,3,0,2,2,0,0,0,2,0,1,7,0,0,3,0,0
5:95:26,2,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0
5:96:5,0,0,1,5,0,0,0,2,0,0,3,0,2,1,0,0
5:97:15,0,0,0,7,0,0,0,1,0,0,2,0,1,0,0,0
5:99:9,0,0,3,2,0,0,0,4,0,0,1,1,0,0,0,0
5:101:12,0,0,0,3,0,0,0,2,0,0,6,0,0,0,0,0
5:103:7,1,0,1,3,0,0,0,3,0,0,3,0,1,0,0,0
5:104:16,2,0,4,1,0,0,0,1,0,2,3,0,1,0,0,0
5:106:2,2,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0
5:106:32,0,0,0,2,0,0,0,0,0,0,3,0,3,1,0,0
5:107:10,0,0,0,3,0,0,0,2,0,0,5,0,6,0,0,0
5:108:14,1,0,0,5,0,0,0,3,0,0,0,0,2,0,0,0
5:110:7,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0
5:110:37,1,0,1,0,0,0,0,1,0,1,3,0,2,0,0,0
5:111:3,0,0,2,2,0,1,0,3,0,0,3,0,1,0,0,0
5:112:20,2,0,2,3,0,0,0,1,0,1,3,0,1,0,0,0
5:114:13,3,0,0,3,0,0,0,0,0,0,5,0,3,2,0,0
5:116:4,2,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0
5:116:34,2,0,0,1,0,0,0,1,0,0,1,0,3,1,0,0
5:117:19,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
5:119:9,0,0,0,4,0,0,0,1,0,0,5,0,1,0,0,0
6:1:4,2,0,0,4,0,0,0,1,0,1,4,0,1,1,0,0
6:3:2,1,0,2,2,0,0,0,3,0,1,1,0,0,0,0,0
6:5:9,0,0,1,1,0,0,0,2,0,3,6,0,0,1,0,0
6:6:27,3,0,0,0,0,0,0,2,0,0,7,0,3,0,0,0
6:8:10,1,0,0,0,0,0,0,3,0,2,4,0,0,1,0,0
6:11:5,2,0,0,2,0,0,0,2,0,0,1,2,1,0,0,0
6:12:25,0,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0
6:14:21,0,0,0,1,0,0,0,0,0,0,5,0,2,2,0,0
6:17:9,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0
6:19:15,1,0,2,1,0,0,0,0,0,1,4,1,1,2,0,0
6:20:8,1,0,1,2,0,0,0,2,0,0,1,0,3,2,0,0
6:22:11,3,0,0,1,0,0,0,3,0,2,3,0,2,0,0,0
6:25:7,0,0,1,0,0,0,0,3,0,0,4,0,5,0,0,0
6:26:5,1,0,0,1,0,0,0,3,0,1,1,0,2,0,0,0
6:28:7,0,0,0,1,0,0,0,6,0,0,1,0,2,0,0,0
6:30:12,1,0,2,2,0,0,0,3,0,0,1,0,1,0,0,0
6:31:23,0,0,1,3,0,0,0,0,0,0,3,0,1,1,0,0
6:33:13,0,0,1,2,0,0,0,4,0,0,4,0,1,0,0,0
6:35:7,0,0,2,3,0,0,0,0,0,1,4,0,0,0,0,0
6:36:9,0,0,2,1,0,0,0,1,0,0,7,0,1,1,0,0
6:38:10,0,0,0,2,0,0,0,1,0,1,8,0,1,0,0,0
6:40:1,2,0,1,3,0,0,0,0,0,0,2,0,2,0,0,0
6:42:4,0,0,3,2,0,0,0,4,0,2,3,0,1,1,0,0
6:44:9,0,0,0,1,0,0,0,3,0,2,1,0,3,0,0,0
6:46:10,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
6:48:3,2,0,1,1,0,0,0,2,0,0,0,1,2,0,0,0
6:50:10,1,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0
6:51:12,0,0,0,0,0,0,0,0,0,3,6,0,0,2,0,0
6:52:25,0,0,3,5,0,0,0,1,0,2,2,0,2,1,0,0
6:54:15,1,0,1,1,0,0,0,0,0,0,6,1,0,2,0,0
6:56:12,1,0,1,0,0,0,1,0,0,1,3,0,3,2,0,0
6:57:21,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0
6:59:15,0,0,0,1,0,0,0,0,0,2,5,0,1,0,0,0
6:60:14,1,0,1,1,0,0,0,1,0,1,1,0,2,1,0,0
6:62:5,1,0,0,2,0,0,0,0,0,2,5,0,0,2,0,0
6:64:6,2,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0
6:65:26,0,0,0,0,0,0,0,1,0,1,3,1,1,2,0,0
6:68:15,1,0,0,4,0,0,0,1,0,1,5,0,0,0,0,0
6:70:10,0,0,1,1,0,0,0,3,0,0,8,0,2,1,0,0
6:70:40,1,0,0,3,0,0,0,2,0,0,3,0,2,1,0,0
6:71:25,0,0,0,3,0,0,0,1,0,0,1,0,2,1,0,0
6:73:8,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
6:74:14,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0
6:77:6,0,0,2,2,0,0,0,0,0,0,3,0,3,0,0,0
6:78:18,0,0,4,2,0,0,1,0,0,0,2,0,4,3,0,0
6:80:18,1,0,0,1,0,0,0,0,0,1,3,0,1,1,0,0
6:82:1,0,0,2,0,0,0,0,3,0,2,3,0,4,2,0,0
6:84:6,0,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0
6:86:8,0,0,3,1,0,0,0,3,0,1,3,0,0,2,0,0
6:89:5,0,0,3,2,0,0,0,2,0,0,2,1,1,0,0,0
6:91:2,2,0,1,3,0,0,0,2,0,1,6,0,2,3,0,0
6:91:32,3,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0
6:92:18,2,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0
6:93:26,3,0,1,2,0,0,0,2,0,0,0,0,2,1,0,0
6:94:7,2,0,3,2,0,0,0,1,0,2,1,1,0,0,0,0
6:95:8,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0
6:97:9,2,0,2,1,0,0,0,0,0,1,8,0,2,1,0,0
6:99:10,1,0,0,3,0,0,0,1,0,0,10,0,4,2,0,0
6:99:40,0,0,1,1,0,0,0,2,0,0,6,0,0,4,0,0
6:101:11,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0
6:103:7,0,0,2,1,0,0,1,1,0,2,3,0,2,2,0,0
6:106:5,1,0,1,2,0,0,0,3,0,1,4,0,3,0,0,0
6:108:9,1,0,1,2,0,0,0,2,0,2,4,0,0,0,0,0
6:109:14,0,0,2,1,0,0,0,1,0,0,1,0,3,1,0,0
6:111:10,1,0,2,1,0,0,0,2,0,0,6,0,2,0,0,0
6:112:18,1,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0
6:114:13,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,0
6:116:9,1,0,0,3,0,0,0,1,0,1,4,0,0,2,0,0
6:118:10,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0
6:119:30,0,0,1,2,0,0,0,3,0,0,1,0,2,2,0,0
6:121:18,0,0,0,2,0,0,0,1,0,0,5,0,0,3,0,0
6:123:4,1,0,1,2,0,0,0,2,0,0,2,0,1,1,0,0
6:124:19,1,0,0,2,0,0,0,2,0,0,7,0,0,4,0,0
6:125:20,1,0,1,4,0,0,0,1,0,1,2,0,0,0,0,0
6:128:3,2,0,2,2,0,0,0,0,0,2,2,0,3,0,0,0
6:128:33,4,0,1,1,0,0,0,2,0,0,3,0,1,0,0,0
6:130:19,1,0,0,1,0,0,0,3,0,0,5,0,1,0,0,0
6:133:2,2,0,1,1,0,0,0,1,0,3,4,0,2,0,0,0
6:135:7,0,0,2,2,0,0,0,2,0,0,3,0,0,2,0,0
6:136:18,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0
6:137:17,0,0,2,1,0,0,0,2,0,1,4,0,2,1,0,0
6:139:1,0,0,1,0,0,0,0,2,0,0,7,0,2,1,0,0
6:140:9,1,0,1,6,0,0,0,4,0,0,5,0,1,1,0,0
6:141:19,0,0,0,2,0,0,0,4,0,0,5,0,3,5,0,0
6:143:2,3,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0
6:144:9,3,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
6:144:39,1,0,0,2,0,0,0,0,0,0,4,1,4,2,0,0
6:145:29,0,0,0,0,0,0,0,1,0,0,5,0,3,1,0,0
6:146:20,0,0,1,1,0,0,0,1,0,1,4,1,1,1,0,0
6:148:9,2,0,1,1,0,0,0,1,0,1,5,0,2,0,0,0
6:149:2,0,0,3,1,0,0,0,2,0,0,1,0,0,0,0,0
6:150:24,0,0,0,0,0,0,0,4,0,2,3,0,1,1,0,0
6:151:27,0,0,0,2,0,0,0,3,0,1,0,0,0,2,0,0
6:152:15,0,0,0,2,0,0,0,3,0,1,1,0,0,1,0,0
6:153:10,1,0,1,0,0,0,0,0,0,2,6,0,1,2,0,0
6:155:6,2,0,2,0,0,0,0,3,0,1,5,0,4,0,0,0
6:157:14,1,0,2,1,0,0,0,1,0,0,5,0,1,0,0,0
6:158:9,3,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0
6:159:2,0,0,2,2,0,0,0,3,0,1,3,0,2,1,0,0
6:160:13,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
6:163:2,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0,0
6:164:24,1,0,1,2,0,0,0,0,0,1,4,0,1,1,0,0
7:1:4,3,0,2,1,0,0,0,2,0,2,5,0,2,2,0,0
7:4:2,0,0,3,0,0,0,0,1,0,2,3,0,3,0,0,0
7:7:4,1,0,3,0,0,0,0,4,0,1,1,0,1,2,0,0
7:10:8,0,0,1,1,0,0,1,2,0,0,3,0,2,0,0,0
7:12:11,2,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0
7:16:2,0,0,1,0,0,0,0,0,0,1,5,0,1,0,0,0
7:18:10,2,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
7:20:11,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0
7:22:11,1,0,0,2,0,0,0,0,0,0,5,1,3,0,0,0
7:24:1,1,0,0,1,0,0,0,1,0,0,5,0,1,0,0,0
7:26:12,1,0,0,2,0,0,0,0,0,1,1,0,3,2,0,0
7:27:22,0,0,3,4,0,0,0,2,0,0,1,0,1,0,0,0
7:28:21,1,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0
7:30:13,1,0,0,3,0,0,0,4,0,1,1,0,3,2,0,0
7:32:11,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0
7:33:15,0,0,1,2,0,0,0,2,0,0,5,0,1,1,0,0
7:35:5,1,0,1,1,0,0,0,3,0,0,1,0,1,0,0,0
7:37:5,2,0,2,2,0,0,0,5,0,1,1,0,4,1,0,0
7:37:35,1,0,0,1,0,0,0,3,0,1,4,0,2,0,0,0
7:38:28,1,0,2,1,0,0,0,2,0,0,7,0,0,0,0,0
7:40:4,0,0,1,2,0,0,0,1,0,1,4,0,0,0,0,0
7:42:1,0,0,1,1,0,0,0,4,0,1,2,0,1,0,0,0
7:43:16,1,0,1,2,0,0,0,1,0,0,2,0,3,0,0,0
7:44:10,0,1,0,3,0,0,0,1,0,2,6,0,0,0,0,0
7:46:2,0,0,1,1,0,0,0,2,0,0,4,0,0,0,0,0
7:48:1,3,0,2,1,0,0,0,2,0,1,1,0,4,0,0,0
7:50:2,1,0,1,4,0,0,0,3,0,0,2,0,1,0,0,0
7:51:12,1,0,1,0,0,0,0,2,0,1,5,0,0,2,0,0
7:53:13,1,0,2,1,0,0,0,3,0,1,1,1,2,0,0,0
7:54:5,0,0,0,5,0,0,0,1,0,0,3,0,1,2,0,0
7:55:3,0,0,0,2,0,0,0,1,0,0,4,0,1,2,0,0
7:57:10,1,0,1,2,0,0,0,0,0,0,5,0,1,3,0,0
7:58:11,0,0,0,1,0,0,0,1,0,1,3,0,2,2,0,0
7:60:3,1,0,0,1,0,0,0,0,0,0,6,0,1,1,0,0
7:63:2,3,0,1,0,0,0,0,3,0,0,4,0,1,1,0,0
7:65:5,0,0,0,1,0,0,0,2,0,1,3,0,2,2,0,0
7:67:5,2,0,2,0,0,0,1,1,0,0,8,0,1,0,0,0
7:69:17,1,0,2,3,0,0,0,2,1,0,3,0,3,1,0,0
7:71:3,4,0,2,1,0,0,0,1,0,3,6,0,3,1,0,0
7:72:8,0,0,1,2,0,0,0,3,0,2,4,0,0,2,0,0
7:73:25,0,0,3,1,0,0,0,2,0,0,7,0,3,0,0,0
7:74:20,0,0,0,1,0,0,0,4,0,0,4,0,2,3,0,0
7:76:2,2,0,0,2,0,0,0,5,0,1,1,0,3,1,0,0
7:79:2,0,0,0,2,0,0,0,0,0,1,2,0,1,1,0,0
7:81:4,2,0,1,1,0,0,0,1,0,2,6,0,4,3,0,0
7:84:3,1,0,1,2,0,0,0,3,0,2,4,0,0,1,0,0
7:85:25,1,0,1,1,0,0,0,3,0,1,5,0,1,1,0,0
7:86:17,3,0,2,1,0,0,0,4,0,0,4,0,1,1,0,0
7:88:4,0,0,0,1,0,0,0,2,0,1,2,0,1,1,0,0
7:89:12,1,0,1,3,0,0,0,0,0,0,2,0,3,0,0,0
7:89:42,0,0,0,1,0,0,0,6,0,0,5,0,0,1,0,0
7:92:12,0,0,2,1,0,0,0,0,0,0,3,0,3,0,0,0
7:94:13,0,0,4,4,0,0,0,4,0,2,2,1,1,0,0,0
7:96:12,0,0,1,1,0,0,0,3,0,3,5,0,2,0,0,0
7:99:6,1,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0
7:101:7,0,0,1,1,0,0,0,3,0,3,4,0,1,0,0,0
7:103:5,1,0,0,1,0,1,0,2,0,0,3,0,3,0,0,0
7:105:10,2,0,1,1,0,0,0,0,0,1,7,0,2,1,0,0
7:108:5,0,0,3,1,0,0,0,1,0,1,4,0,1,0,0,0
7:113:2,0,0,0,1,0,0,0,4,0,0,3,0,5,0,0,0
7:116:5,1,0,1,2,0,0,0,4,0,0,1,0,3,0,0,0
7:120:3,1,0,0,0,0,0,0,2,0,2,1,0,2,1,0,0
