qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
2:134:13,2,0,0,1,0,2,0,5,0,0,1,0,4,0,0,0
2:136:13,1,0,0,1,0,0,0,3,0,1,3,1,3,2,0,0
2:137:12,0,0,1,5,0,0,0,0,0,0,2,0,1,1,0,0
2:139:13,2,0,0,3,0,1,0,1,0,0,1,0,0,2,0,0
2:140:29,0,0,1,2,0,0,0,2,0,1,2,1,0,0,0,0
2:142:14,1,0,2,2,0,0,0,1,0,0,6,0,1,0,0,0
2:143:23,1,0,1,6,0,0,0,0,0,0,4,0,0,0,0,0
2:144:8,1,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0
2:145:4,1,0,2,1,0,0,0,2,0,2,6,0,1,0,0,0
2:146:2,0,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0
2:148:11,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0
2:150:5,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0
2:151:4,1,0,1,4,0,0,0,5,0,1,1,0,1,0,0,0
2:153:11,1,0,1,3,0,0,0,1,0,2,7,0,1,0,0,0
2:156:5,0,0,3,2,0,0,0,3,0,0,4,0,2,0,0,0
2:158:16,1,0,1,4,0,0,0,1,0,0,4,0,1,0,0,0
2:160:2,0,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0
2:162:8,3,0,0,6,0,0,0,0,0,0,2,0,2,0,0,0
2:164:20,0,0,4,5,0,0,0,0,0,0,8,0,0,0,0,0
2:165:7,1,0,0,3,0,0,0,3,0,0,3,0,2,0,0,0
2:166:6,0,0,0,2,0,0,0,3,0,1,1,0,0,0,0,1
2:168:1,0,0,3,4,0,0,0,3,0,1,4,0,0,1,0,0
2:170:3,1,0,2,1,0,0,0,3,0,0,1,0,3,0,0,0
2:171:11,2,0,3,1,0,0,0,3,0,0,6,0,0,0,0,0
2:173:8,1,0,0,3,0,0,0,0,0,0,4,0,3,2,0,0
2:174:13,0,0,2,4,0,0,0,2,0,0,0,0,1,0,0,1
2:176:3,0,0,1,2,0,0,0,2,0,0,3,0,0,0,0,0
2:177:19,0,0,4,8,0,1,0,2,0,0,0,0,0,1,0,0
2:177:49,2,0,3,0,0,0,0,3,0,0,4,0,0,1,0,0
2:178:28,0,0,1,0,0,0,0,1,0,0,5,0,0,1,0,0
2:180:11,0,0,0,1,0,0,0,0,0,0,5,0,3,4,0,0
2:182:11,1,0,1,2,0,0,0,1,0,1,7,0,0,0,0,0
2:184:10,2,0,0,0,0,0,0,1,0,0,10,0,1,2,0,0
2:185:8,1,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0
2:185:38,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0
2:187:7,4,0,1,2,0,0,0,3,0,0,2,0,0,0,0,0
2:187:37,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0
2:188:2,1,0,0,2,0,0,0,4,0,2,2,0,2,0,0,0
2:189:15,0,0,0,3,0,0,0,4,0,1,1,0,1,0,0,0
2:191:5,2,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0
